Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,12.860000,13.500000,12.000000,13.050000,13.050000,7364
2014-05-19,13.030000,13.030000,12.000000,13.000000,13.000000,11700
2014-05-26,12.700000,13.450000,12.640000,12.950000,12.950000,5392
2014-06-02,12.900000,13.890000,12.250000,13.570000,13.570000,9436
2014-06-09,13.500000,13.500000,11.430000,12.000000,12.000000,10076
2014-06-16,12.200000,12.200000,11.500000,12.000000,12.000000,13120
2014-06-23,11.490000,12.850000,10.500000,12.850000,12.850000,14664
2014-06-30,12.870000,13.000000,11.300000,11.600000,11.600000,7332
2014-07-07,11.930000,12.500000,9.990000,10.100000,10.100000,15884
2014-07-14,10.100000,10.690000,9.880000,10.300000,10.300000,22093
2014-07-21,10.250000,10.380000,9.910000,10.240000,10.240000,9458
2014-07-28,10.150000,10.420000,10.000000,10.420000,10.420000,3527
2014-08-04,10.420000,10.420000,9.900000,9.950000,9.950000,521
2014-08-11,9.900000,10.000000,9.650000,9.900000,9.900000,2078
2014-08-18,9.670000,9.950000,9.140000,9.780000,9.780000,11581
2014-08-25,9.700000,12.480000,9.700000,11.990000,11.990000,18064
2014-09-01,11.120000,11.990000,10.700000,11.990000,11.990000,9546
2014-09-08,11.850000,11.850000,10.650000,11.000000,11.000000,11006
2014-09-15,11.000000,11.000000,9.600000,10.050000,10.050000,12846
2014-09-22,10.100000,10.140000,8.820000,9.430000,9.430000,10988
2014-09-29,9.500000,10.990000,9.440000,9.600000,9.600000,11173
2014-10-06,9.450000,9.450000,8.950000,9.160000,9.160000,7048
2014-10-13,9.160000,9.220000,8.700000,8.980000,8.980000,9903
2014-10-20,8.990000,9.180000,8.500000,9.100000,9.100000,8788
2014-10-27,9.050000,9.690000,8.800000,9.080000,9.080000,14335
2014-11-03,9.330000,10.000000,9.050000,9.290000,9.290000,59667
2014-11-10,9.200000,9.650000,8.900000,9.620000,9.620000,23927
2014-11-17,13.900000,32.000000,13.470000,30.990000,30.990000,739253
2014-11-24,41.099998,49.000000,36.400002,44.799999,44.799999,361341
2014-12-01,46.000000,67.769997,44.000000,67.389999,67.389999,524197
2014-12-08,68.000000,76.000000,61.000000,65.500000,65.500000,269227
2014-12-15,71.750000,78.800003,68.000000,70.800003,70.800003,136493
2014-12-22,69.000000,69.800003,59.330002,62.000000,62.000000,59731
2014-12-29,64.580002,76.599998,64.050003,72.000000,72.000000,82512
2015-01-05,70.220001,74.900002,64.500000,66.699997,66.699997,50099
2015-01-12,68.699997,73.500000,66.120003,69.470001,69.470001,41368
2015-01-19,69.400002,71.879997,63.990002,68.760002,68.760002,48589
2015-01-26,71.000000,73.989998,69.029999,69.650002,69.650002,37252
2015-02-02,71.000000,82.489998,70.500000,71.300003,71.300003,119918
2015-02-09,70.000000,82.820000,62.020000,75.000000,75.000000,152432
2015-02-16,74.000000,74.989998,68.500000,72.269997,72.269997,53320
2015-02-23,72.699997,73.989998,68.400002,69.000000,69.000000,43542
2015-03-02,68.510002,75.500000,66.809998,73.290001,73.290001,58112
2015-03-09,72.599998,73.769997,70.000000,72.199997,72.199997,38220
2015-03-16,71.500000,73.629997,70.699997,71.489998,71.489998,33843
2015-03-23,71.480003,74.470001,69.500000,73.940002,73.940002,39973
2015-03-30,72.400002,73.440002,71.000000,71.690002,71.690002,15658
2015-04-06,71.690002,71.690002,69.599998,69.599998,69.599998,18321
2015-04-13,69.500000,70.000000,62.110001,65.029999,65.029999,35285
2015-04-20,65.099998,67.480003,60.099998,61.990002,61.990002,25113
